0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:50:00 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:50:00 +0900] "GET /test/mypage.css HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:50:04 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:50:04 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:50:37 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:50:38 +0900] "GET /test/mypage.css HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:51:04 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:51:04 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:53:38 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:53:38 +0900] "GET /test/mypage.css HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:54:12 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:54:12 +0900] "GET /test/mypage.css HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:57:37 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:57:38 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Jun/2020:17:57:38 +0900] "GET /test/mypage.css HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [17/Jun/2020:18:02:29 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1925
